simulation_id,final_portfolio_value,annual_return,annual_volatility,sharpe_ratio,var_95,cvar_95,weight_aapl,weight_amzn,weight_googl,weight_gs,weight_jpm,weight_meta,weight_msft,weight_nvda,weight_spy,weight_tsla
818,999636.1628322972,0.04075346450082659,0.28665849025212753,0.07239787135756243,-0.02964157046664004,-0.03625090482209822,0.019183421144126314,0.16026257317440956,0.0899104036245718,0.03707116602900808,0.1854855801967145,0.17608418882137097,0.028063095321694112,0.07536623254650875,0.03244921175593394,0.19612412738566187
819,1980235.5010245906,0.7207224752408206,0.27075770323003356,2.5880056850884583,-0.02405158504544612,-0.03467777486024591,0.0725912741521537,0.21438725500978856,0.09026705108801687,0.05590938360471981,0.08393026927092204,0.17388190539879853,0.18973188423867698,0.04867368294744328,0.00036928068352804866,0.07025801360595216
820,1190123.286736615,0.2054010815675592,0.2501288336935154,0.7412223486186821,-0.025718209525248486,-0.031063513305463957,0.10214488571902658,0.0013975550113833192,0.18243782668396558,0.13018081540789647,0.048193272278729625,0.0717483086481564,0.09829317366956355,0.0047148013460769295,0.1941169286833103,0.16677243255189125
821,579810.3744769415,-0.5012003923826405,0.2932993995445452,-1.777025091739005,-0.030778287273825,-0.040940422945549074,0.12962169201419171,0.0033329346663382195,0.13706594672051836,0.09517163578063141,0.12186430220950548,0.07778284054810712,0.0021603646868195063,0.157302718012649,0.10402039233441583,0.17167717302682334
822,1048963.4241328912,0.07591463941165022,0.23734080119595688,0.23558797783565721,-0.02354696316080897,-0.0293818837338925,0.06824156183431986,0.009240025537980071,0.12255130430756378,0.10411162171790553,0.23332520675288557,0.19330403487919293,0.04070996356297199,0.114496034553235,0.028583243724518335,0.085437003129427
823,1170842.7331871067,0.19113531454259153,0.25854142039614253,0.6619261017456098,-0.024837896906189635,-0.03010106288135091,0.06855471912569727,0.17076016871056307,0.04037133288193035,0.1091413277252568,0.1756536146734898,0.18555976634272478,0.08311679352936495,0.15392010190765276,0.008273014506186054,0.004649160597134275
824,1304586.9248938172,0.28901745850873256,0.2147008006720935,1.2529876817720647,-0.02076527261201792,-0.024350912415171674,0.09204386133439824,0.22443671406583002,0.19866955032252284,0.15016007736831805,0.04534826315216875,0.003627966223540579,0.1762573712269125,0.015734404391671036,0.08639658780536978,0.007325204109268381
825,1243023.4675969144,0.2519693938140215,0.2618967426296008,0.8857284419993517,-0.02243010243354972,-0.034199013565342516,0.04591072800849904,0.11885127581861472,0.05525681859215761,0.12171708678590179,0.023622752166840625,0.16162646637434638,0.1162298387970468,0.15696073756581666,0.17939675941886352,0.02042753647191303
826,1465960.050461229,0.4136298615536407,0.24818054956202365,1.586062494616514,-0.0272254751877433,-0.03273082214544938,0.053625445897442496,0.11115000045203886,0.15606361771485927,0.13041702760051574,0.15138866997530367,0.10735149236920354,0.15583863465327608,0.10415188887427529,0.012376904794736979,0.017636317668348066
827,1324649.6148876946,0.30983649866173896,0.23903522941932326,1.2125262847900067,-0.02486108305603574,-0.029329917805293076,0.048607933590563694,0.0711215973215008,0.15151983375441283,0.06102397497127146,0.1233314618304154,0.18419495102856417,0.0731980593148683,0.021555838625145988,0.1507512182995237,0.11469513126373361
828,1399764.904012306,0.36678458232803923,0.24612752415564754,1.408963030517211,-0.024076518261507984,-0.028743191325062235,0.16415424115152957,0.1334100888983056,0.028712677167339364,0.06597666900349868,0.10445612484646419,0.06353745425436454,0.04663315100274384,0.1315177281806525,0.15782444310475308,0.10377742239034853
829,826031.9613071904,-0.15616444609399002,0.26406096637555776,-0.6671355047737048,-0.027236301642324552,-0.03341393064094218,0.03241110352114107,0.0035786745656922803,0.1280392414313583,0.03772813457360562,0.15627483917293117,0.1837717284713022,0.08971757771168978,0.11386911714917998,0.1087676353068139,0.14584194809628578
830,1130508.1933152662,0.15850823908484163,0.26763195469731005,0.5175325167784749,-0.024760496819244134,-0.036165353315016434,0.019207086756297613,0.1834441865240825,0.07183520418255782,0.14684449269025657,0.07866155007934422,0.15439754463877975,0.15697331478050097,0.09551145915866542,0.04708176712145747,0.046043394068057644
